time_s,vin,vgate,vout
0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,3.294573637006640965e+00
1.000000000000000021e-08,6.283185303045417680e-07,2.000000628318268525e+00,3.294571560358320994e+00
2.000000000000000042e-08,1.256637058128581219e-06,2.000001256636272817e+00,3.294569483708587043e+00
4.000000000000000084e-08,2.513274096413145601e-06,2.000002513271740501e+00,3.294565330408623538e+00
8.000000000000000167e-08,5.026548034074156501e-06,2.000005026539394049e+00,3.294557023805827711e+00
1.600000000000000033e-07,1.005309479813129976e-05,2.000010053061023640e+00,3.294540410590578006e+00
3.200000000000000067e-07,2.010617943612842483e-05,2.000020106045130586e+00,3.294507184136141298e+00
6.400000000000000134e-07,4.021227759124506196e-05,2.000040211741166640e+00,3.294440731249102861e+00
1.280000000000000027e-06,8.042390493636726774e-05,2.000080421760064286e+00,3.294307826502874015e+00
2.280000000000000193e-06,1.432517250899016962e-04,2.000143244920495444e+00,3.294100169974043979e+00
3.279999999999999936e-06,2.060738899106157149e-04,2.000206059808134373e+00,3.293892529366666544e+00
4.279999999999999679e-06,2.688879192870111405e-04,2.000268863943265085e+00,3.293684912883155569e+00
5.279999999999999422e-06,3.316913334287629588e-04,2.000331654846598362e+00,3.293477328726315712e+00
6.279999999999999165e-06,3.944816529646175086e-04,2.000394430039365012e+00,3.293269785099030678e+00
7.279999999999998908e-06,4.572563990402739287e-04,2.000457187043417573e+00,3.293062290203934595e+00
8.279999999999998651e-06,5.200130934162445172e-04,2.000519923381325338e+00,3.292854852243080721e+00
9.279999999999999241e-06,5.827492585656921052e-04,2.000582636576474727e+00,3.292647479417625256e+00
1.027999999999999983e-05,6.454624177722379950e-04,2.000645324153165205e+00,3.292440179927487165e+00
1.128000000000000042e-05,7.081500952277389443e-04,2.000707983636707432e+00,3.292232961971038208e+00
1.228000000000000101e-05,7.708098161300277204e-04,2.000770612553520955e+00,3.292025833744777863e+00
