freq_hz,gain_db,phase_deg
1.000000000000000000e+01,-1.714492049502243853e-04,-3.599952627020995277e-01
1.038468775134351141e+01,-1.848935191193297098e-04,-3.738434537450693318e-01
1.078417396929039462e+01,-1.993920547684128997e-04,-3.882243214823736244e-01
1.119902793272474995e+01,-2.150274735984291502e-04,-4.031583517884790857e-01
1.162984081999205443e+01,-2.318889181896491769e-04,-4.186668179395002798e-01
1.207722655134462642e+01,-2.500725200081394136e-04,-4.347718108238752266e-01
1.254182266379491750e+01,-2.696819472243767025e-04,-4.514962703056533133e-01
1.302429121962335223e+01,-2.908289954514030849e-04,-4.688640177835934897e-01
1.352531974983534724e+01,-3.136342247557063687e-04,-4.868997899907906435e-01
1.404562223391196163e+01,-3.382276465678962546e-04,-5.056292740811154651e-01
1.458594011725036310e+01,-3.647494644241812824e-04,-5.250791440503645990e-01
1.514704336774397753e+01,-3.933508726869828923e-04,-5.452770985416647287e-01
1.572973157300798519e+01,-4.241949178391179391e-04,-5.662519000863641683e-01
1.633483507981373251e+01,-4.574574272235656415e-04,-5.880334158333790917e-01
1.696321617735579679e+01,-4.933280105088968300e-04,-6.106526598217257851e-01
1.761577032603788240e+01,-5.320111395293037867e-04,-6.341418368527722560e-01
1.829342743352860978e+01,-5.737273126929367606e-04,-6.585343880205817291e-01
1.899715317990559171e+01,-6.187143105026745964e-04,-6.838650379605873963e-01
1.972795039377620441e+01,-6.672285493264644863e-04,-7.101698438787218404e-01
2.048686048133601290e+01,-7.195465411258116385e-04,-7.374862464250581118e-01
2.127496491040135140e+01,-7.759664673354007419e-04,-7.658531224779251412e-01
2.209338675153079024e+01,-8.368098758729524984e-04,-7.953108399064302558e-01
2.294329227843168084e+01,-9.024235108584213912e-04,-8.259013143812458102e-01
2.382589262993236190e+01,-9.731812853732088337e-04,-8.576680683054729304e-01
2.474244553588842166e+01,-1.049486408425880221e-03,-8.906562919393129496e-01
2.569425710948244301e+01,-1.131773678134002708e-03,-9.249129067941891380e-01
2.668268370847132687e+01,-1.220511954055687612e-03,-9.604866313738120720e-01
2.770913386803352552e+01,-1.316206822611458004e-03,-9.974280493415089710e-01
2.877507030797054099e+01,-1.419403470609174531e-03,-1.035789680194860507e+00
2.988201201712300303e+01,-1.530689783057041526e-03,-1.075626052530358479e+00
3.103153641797168660e+01,-1.650699682662837980e-03,-1.116993779982326407e+00
3.222528161450806294e+01,-1.780116729760736205e-03,-1.159951639921754651e+00
3.346494872657770969e+01,-1.919678002909907307e-03,-1.204560655001951641e+00
3.475230431402301434e+01,-2.070178281835985748e-03,-1.250884177638942552e+00
3.608918289407970548e+01,-2.232474556145215300e-03,-1.298987977515382974e+00
3.747748955561452533e+01,-2.407490885002785443e-03,-1.348940332197275493e+00
3.891920267392945476e+01,-2.596223634844524973e-03,-1.400812120953012441e+00
4.041637673000108322e+01,-2.799747124277589087e-03,-1.454676921864118677e+00
4.197114523817271703e+01,-3.019219707556077166e-03,-1.510611112316484039e+00
4.358572378647117063e+01,-3.255890330326702622e-03,-1.568693972959802618e+00
4.526241319388086737e+01,-3.511105593891886232e-03,-1.629007795221294463e+00
4.700360278907435685e+01,-3.786317367022583747e-03,-1.691637992457480699e+00
4.881177381527161430e+01,-4.083090987140167508e-03,-1.756673214824747697e+00
5.068950296608010575e+01,-4.403114095938921377e-03,-1.824205467945521741e+00
5.263946605735426232e+01,-4.748206157707366738e-03,-1.894330235442032606e+00
5.466444184030692810e+01,-5.120328712329077180e-03,-1.967146605403639503e+00
5.676731596130650814e+01,-5.521596418598838027e-03,-2.042757400846539451e+00
5.895108507400266973e+01,-5.954288947643238475e-03,-2.121269314215964652e+00
6.121886110964047845e+01,-6.420863790533424924e-03,-2.202793045970841135e+00
6.357387571164831286e+01,-6.923970048796438889e-03,-2.287443447278801223e+00
6.601948484081889035e+01,-7.466463281387085080e-03,-2.375339666835417418e+00
6.855917355764604793e+01,-8.051421487014384995e-03,-2.466605301805210093e+00
7.119656098863208626e+01,-8.682162306110416741e-03,-2.561368552863067194e+00
7.393540548364288156e+01,-9.362261532652469201e-03,-2.659762383292997523e+00
7.677960997166020718e+01,-1.009557303230708934e-02,-2.761924682076146720e+00
7.973322752256318324e+01,-1.088625016978421109e-02,-2.867998430871423032e+00
8.280046712286471688e+01,-1.173876885533760121e-02,-2.978131874759535336e+00
8.598569967363343380e+01,-1.265795232746669968e-02,-3.092478696584111564e+00
8.929346421914829079e+01,-1.364899779658569796e-02,-3.211198194681536222e+00
9.272847441516192646e+01,-1.471750508235150287e-02,-3.334455463743467796e+00
9.629562524599022311e+01,-1.586950738560884838e-02,-3.462421578502181241e+00
9.999999999999995737e+01,-1.711150434458093630e-02,-3.595273779868173314e+00
1.038468775134350608e+02,-1.845049753376720378e-02,-3.733195663081161353e+00
1.078417396929039000e+02,-1.989402857326638685e-02,-3.876377367358864401e+00
1.119902793272474497e+02,-2.145022002552344348e-02,-4.025015766441957688e+00
1.162984081999205017e+02,-2.312781926609767599e-02,-4.179314659337228122e+00
1.207722655134462144e+02,-2.493624552455765697e-02,-4.339484960453526163e+00
1.254182266379491182e+02,-2.688564030132859287e-02,-4.505744888204955778e+00
1.302429121962334762e+02,-2.898692137555000312e-02,-4.678320151022423268e+00
1.352531974983534155e+02,-3.125184062834880649e-02,-4.857444129566101942e+00
1.404562223391195630e+02,-3.369304591453565340e-02,-5.043358053767008187e+00
1.458594011725035671e+02,-3.632414722377588084e-02,-5.236311173143644915e+00
1.514704336774397007e+02,-3.915978737947717336e-02,-5.436560918638673634e+00
1.572973157300797595e+02,-4.221571752963497459e-02,-5.644373053998889667e+00
1.633483507981372327e+02,-4.550887768817359069e-02,-5.860021814478142410e+00
1.696321617735578684e+02,-4.905748258809318474e-02,-6.083790030375668678e+00
1.761577032603787245e+02,-5.288111310768089934e-02,-6.315969232630055608e+00
1.829342743352859770e+02,-5.700081352849057509e-02,-6.556859737370406727e+00
1.899715317990557821e+02,-6.143919487746596353e-02,-6.806770705979928948e+00
1.972795039377618878e+02,-6.622054459531441506e-02,-7.066020176851959711e+00
2.048686048133599797e+02,-7.137094275774731600e-02,-7.334935064613753219e+00
2.127496491040133719e+02,-7.691838505509972224e-02,-7.613851122158473927e+00
2.209338675153077531e+02,-8.289291270774408471e-02,-7.903112860361104275e+00
2.294329227843166450e+02,-8.932674945866031502e-02,-8.203073419859778781e+00
2.382589262993234627e+02,-9.625444573941055459e-02,-8.514094388762162069e+00
2.474244553588840745e+02,-1.037130300498964597e-01,-8.836545559588905974e+00
2.569425710948243022e+02,-1.117421675245670737e-01,-9.170804618197090363e+00
2.668268370847131337e+02,-1.203843255762602482e-01,-9.517256756840435372e+00
2.770913386803350704e+02,-1.296849464121874462e-01,-9.876294202927136112e+00
2.877507030797052039e+02,-1.396926261024985239e-01,-1.024831565443898640e+01
2.988201201712298030e+02,-1.504592997491168704e-01,-1.063372561238832681e+01
3.103153641797165960e+02,-1.620404321485110488e-01,-1.103293360012637336e+01
3.222528161450803736e+02,-1.744952131655874705e-01,-1.144635325879425558e+01
3.346494872657768838e+02,-1.878867568344404215e-01,-1.187440130774802149e+01
