time_s,vin,vout
0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
1.000000000000000021e-08,-9.799999999999999822e-01,-9.999980001999800860e-01
2.000000000000000042e-08,-9.599999999999999645e-01,-9.999940007999000846e-01
4.000000000000000084e-08,-9.200000000000000400e-01,-9.999820031995003689e-01
8.000000000000000167e-08,-8.399999999999999689e-01,-9.999340199948616448e-01
1.600000000000000033e-07,-6.799999999999999378e-01,-9.997421495270524261e-01
3.200000000000000067e-07,-3.599999999999999867e-01,-9.989751756668968641e-01
6.400000000000000134e-07,2.800000000000000266e-01,-9.959113572142865856e-01
9.999999999999999547e-07,1.000000000000000000e+00,-9.900326579869243027e-01
1.063999999999999893e-06,1.000000000000000000e+00,-9.887598516818482119e-01
1.191999999999999980e-06,1.000000000000000000e+00,-9.862158672217500310e-01
1.447999999999999943e-06,1.000000000000000000e+00,-9.811376547136727577e-01
1.959999999999999869e-06,1.000000000000000000e+00,-9.710201307828016937e-01
2.959999999999999612e-06,1.000000000000000000e+00,-9.514079901779979309e-01
3.959999999999999355e-06,1.000000000000000000e+00,-9.319909952508539375e-01
4.959999999999999098e-06,1.000000000000000000e+00,-9.127672042533330199e-01
5.959999999999998841e-06,1.000000000000000000e+00,-8.937346947582751611e-01
6.959999999999998584e-06,1.000000000000000000e+00,-8.748915634671483588e-01
7.959999999999998327e-06,1.000000000000000000e+00,-8.562359260197142108e-01
8.959999999999998917e-06,1.000000000000000000e+00,-8.377659168055876515e-01
9.959999999999999507e-06,1.000000000000000000e+00,-8.194796887776716332e-01
1.096000000000000010e-05,1.000000000000000000e+00,-8.013754132674461017e-01
1.196000000000000069e-05,1.000000000000000000e+00,-7.834512798020981661e-01
1.296000000000000128e-05,1.000000000000000000e+00,-7.657054959234701474e-01
1.396000000000000187e-05,1.000000000000000000e+00,-7.481362870088087424e-01
1.496000000000000246e-05,1.000000000000000000e+00,-7.307418960932980934e-01
1.596000000000000305e-05,1.000000000000000000e+00,-7.135205836943598889e-01
1.696000000000000364e-05,1.000000000000000000e+00,-6.964706276376997351e-01
1.796000000000000423e-05,1.000000000000000000e+00,-6.795903228850859179e-01
1.896000000000000482e-05,1.000000000000000000e+00,-6.628779813638413509e-01
1.996000000000000541e-05,1.000000000000000000e+00,-6.463319317980320555e-01
2.096000000000000600e-05,1.000000000000000000e+00,-6.299505195413349634e-01
2.196000000000000659e-05,1.000000000000000000e+00,-6.137321064115702773e-01
2.296000000000000718e-05,1.000000000000000000e+00,-5.976750705268779607e-01
2.396000000000000777e-05,1.000000000000000000e+00,-5.817778061435261439e-01
2.496000000000000836e-05,1.000000000000000000e+00,-5.660387234953319080e-01
2.596000000000000895e-05,1.000000000000000000e+00,-5.504562486346818995e-01
2.696000000000000954e-05,1.000000000000000000e+00,-5.350288232751327921e-01
2.796000000000001013e-05,1.000000000000000000e+00,-5.197549046355791624e-01
2.896000000000001072e-05,1.000000000000000000e+00,-5.046329652859713466e-01
2.996000000000001131e-05,1.000000000000000000e+00,-4.896614929945686256e-01
3.096000000000000851e-05,1.000000000000000000e+00,-4.748389905767122499e-01
3.196000000000000571e-05,1.000000000000000000e+00,-4.601639757451033153e-01
3.296000000000000291e-05,1.000000000000000000e+00,-4.456349809615700597e-01
3.396000000000000011e-05,1.000000000000000000e+00,-4.312505532903107008e-01
3.495999999999999732e-05,1.000000000000000000e+00,-4.170092542525960511e-01
3.595999999999999452e-05,1.000000000000000000e+00,-4.029096596829184751e-01
3.695999999999999172e-05,1.000000000000000000e+00,-3.889503595865710928e-01
3.795999999999998892e-05,1.000000000000000000e+00,-3.751299579986450139e-01
3.895999999999998612e-05,1.000000000000000000e+00,-3.614470728444296732e-01
3.995999999999998333e-05,1.000000000000000000e+00,-3.479003358012015545e-01
4.095999999999998053e-05,1.000000000000000000e+00,-3.344883921613887034e-01
4.195999999999997773e-05,1.000000000000000000e+00,-3.212099006970963733e-01
4.295999999999997493e-05,1.000000000000000000e+00,-3.080635335259810925e-01
4.395999999999997213e-05,1.000000000000000000e+00,-2.950479759784588318e-01
4.495999999999996934e-05,1.000000000000000000e+00,-2.821619264662353910e-01
4.595999999999996654e-05,1.000000000000000000e+00,-2.694040963521435184e-01
4.695999999999996374e-05,1.000000000000000000e+00,-2.567732098212763825e-01
4.795999999999996094e-05,1.000000000000000000e+00,-2.442680037534029625e-01
4.895999999999995814e-05,1.000000000000000000e+00,-2.318872275966526453e-01
4.995999999999995535e-05,1.000000000000000000e+00,-2.196296432424570955e-01
5.095999999999995255e-05,1.000000000000000000e+00,-2.074940249017361293e-01
5.195999999999994975e-05,1.000000000000000000e+00,-1.954791589823158537e-01
5.295999999999994695e-05,1.000000000000000000e+00,-1.835838439675664679e-01
5.395999999999994415e-05,1.000000000000000000e+00,-1.718068902962474331e-01
5.495999999999994135e-05,1.000000000000000000e+00,-1.601471202435485186e-01
5.595999999999993856e-05,1.000000000000000000e+00,-1.486033678033141792e-01
5.695999999999993576e-05,1.000000000000000000e+00,-1.371744785714403836e-01
5.795999999999993296e-05,1.000000000000000000e+00,-1.258593096304310155e-01
5.895999999999993016e-05,1.000000000000000000e+00,-1.146567294351033273e-01
5.995999999999992736e-05,1.000000000000000000e+00,-1.035656176994306510e-01
6.095999999999992457e-05,1.000000000000000000e+00,-9.258486528451095876e-02
6.195999999999992854e-05,1.000000000000000000e+00,-8.171337408765017019e-02
6.295999999999992575e-05,1.000000000000000000e+00,-7.095005693254917423e-02
6.395999999999992295e-05,1.000000000000000000e+00,-6.029383746058351867e-02
6.495999999999992015e-05,1.000000000000000000e+00,-4.974365002316478990e-02
6.595999999999991735e-05,1.000000000000000000e+00,-3.929843957517310110e-02
6.695999999999991455e-05,1.000000000000000000e+00,-2.895716156944998232e-02
6.795999999999991176e-05,1.000000000000000000e+00,-1.871878185234103140e-02
6.895999999999990896e-05,1.000000000000000000e+00,-8.582276560277934951e-03
6.995999999999990616e-05,1.000000000000000000e+00,1.453367982610404832e-03
7.095999999999990336e-05,1.000000000000000000e+00,1.138915536586801100e-02
7.195999999999990056e-05,1.000000000000000000e+00,2.122607919307330920e-02
